family,records_in_corpus,evidence_level,top_roles,top_signals
software/system,0,very_sparse,,
control/optimization,22,candidate,current_state_diagnosis:21; literature_review:20; scheme_design:20; background_significance:17; experiment_evaluation:15; model_design:13,role:current_state_diagnosis:21; role:literature_review:20; role:scheme_design:20; topic:algorithm_modeling:19; role:background_significance:17; role:experiment_evaluation:15
mechanical/manufacturing,25,candidate,current_state_diagnosis:22; background_significance:18; research_content_route:18; scheme_design:18; literature_review:17; cause_analysis:9,topic:equipment_maintenance:23; role:current_state_diagnosis:22; topic:algorithm_modeling:21; role:background_significance:18; role:research_content_route:18; role:scheme_design:18
