family,records_in_corpus,evidence_level,draft_rule_summary,promotion_gate
software/system,0,very_sparse,No reliable family-specific rule yet,blocked by sparse family coverage
control/optimization,22,candidate,"Use current_state_diagnosis, literature_review, scheme_design as cautious structural prompts",recheck after another batch
mechanical/manufacturing,25,candidate,"Use current_state_diagnosis, background_significance, research_content_route as cautious structural prompts",recheck after another batch
